id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1465473208275066887,2021-11-30 00:10:14+00:00,"“Please let me help with prep,” the CNN host texted one of Andrew Cuomo's former aides as allegations of sexual harassment came to light. https://t.co/k3pEQjTixE",16,7,No,en,no media
1465469419140833288,2021-11-29 23:55:11+00:00,"Unlike her predecessor Melania Trump, the current first lady seems to give a f**k about Christmas. https://t.co/UPIw6bQfSf",250,50,No,en,no media
1465453010579083272,2021-11-29 22:49:59+00:00,An official with the labor board said Amazon tainted the election process by installing a mailbox onsite for ballots. https://t.co/kOiyCYqIef,8,3,No,en,no media
1465449225341308943,2021-11-29 22:34:56+00:00,"“Many of us might think we are done with COVID-19. It’s not done with us,” World Health Organization director-general Tedros Adhanom Ghebreyesus said Monday. https://t.co/Oy1RwkbOZE",13,9,No,en,no media
1465442278877630468,2021-11-29 22:07:20+00:00,The congresswoman promoted natural immunity on one cable news network and urged viewers on the other to get vaccinated. https://t.co/6Udqp1IRcm,15,15,No,en,no media
1465439348439105544,2021-11-29 21:55:41+00:00,The Republican refused to apologize for a distasteful joke she made about Omar. https://t.co/dc2WLwyYpe,13,8,No,en,no media
1465417642836168715,2021-11-29 20:29:26+00:00,The surviving Beatles and Olivia Harrison posted social media tributes to the musician. https://t.co/0mNaHv80pY,22,7,No,en,no media
1465398837024116739,2021-11-29 19:14:43+00:00,"The bearded man, who was based in the LA area, had eluded online sleuths who have successfully identified dozens of rioters. https://t.co/c6xM0KtPh3",59,31,No,en,no media
1465394285969391618,2021-11-29 18:56:38+00:00,"The U.S. will “face this new threat just as we’ve faced those that have come before it,” President Joe Biden said. https://t.co/FQwCfcMkMm",11,4,No,en,no media
1465380254747447299,2021-11-29 18:00:52+00:00,The historic under secretary wants to do more to retain mid-career women — and ensure that anyone willing and able to serve is welcome. https://t.co/jqPZ8YyYyO,8,3,No,en,no media
1465376447749574671,2021-11-29 17:45:45+00:00,Elder broke down racial barriers and paved the way for Tiger Woods and others to follow. https://t.co/ysxhtHITGx,18,6,No,en,no media
1465361778972442631,2021-11-29 16:47:27+00:00,Officials postponed Doyle Lee Hamm’s execution in February 2018 because workers couldn’t find a suitable vein to send lethal chemicals into his body. https://t.co/15dFhM9hrA,6,1,No,en,no media
1465349389271154688,2021-11-29 15:58:13+00:00,"The fracture in the QAnon movement has continued to widen after Kyle Rittenhouse called Wood ""insane."" https://t.co/0C2BkvKUT4",70,32,No,en,no media
1465342190780039168,2021-11-29 15:29:37+00:00,We’ve heard these claims before. But the mounting scale of the climate and energy conundrum is fueling more money and favorable policies into atomic power. https://t.co/eE8thDaC53,1,3,No,en,no media
1465291560975806469,2021-11-29 12:08:26+00:00,"Nations instituted travel bans and further restrictions, even as it remains unclear what the new variant means for the COVID-19 pandemic. https://t.co/UEnIWqsfvU",7,3,No,en,no media
1465282357100007433,2021-11-29 11:31:52+00:00,"Former Florida congresswoman Carrie Meek championed affirmative action, economic opportunities for the poor and efforts to bolster democracy in Haiti. https://t.co/ibK8p04isO",20,8,No,en,no media
1465270743390904323,2021-11-29 10:45:43+00:00,"For years, anti-choice activists and politicians have attacked reproductive rights in Mississippi. Dobbs v. Jackson Women’s Health is the endgame. https://t.co/tBeKsu9web",11,8,No,en,no media
1465196179382226947,2021-11-29 05:49:25+00:00,"“The American people deserve a full and unvarnished accounting of our nation’s history, especially the more difficult periods,” he said. https://t.co/tIyZDeJa10",18,9,No,en,no media
1465166796990914560,2021-11-29 03:52:40+00:00,"The Oscar-winning actor said it was ""a path that I’m choosing not to take at this moment."" https://t.co/Pyfb5cX8Il",27,4,No,en,no media
1465149765419782148,2021-11-29 02:44:59+00:00,"GOP Rep. Ronny Jackson insisted that the highly transmissible variant is just a trick to ""push"" midterm mail-in ballots. https://t.co/vHprtb2dcc",23,12,No,en,no media
1465131217335029762,2021-11-29 01:31:17+00:00,"Cohen doesn't believe Trump will run in 2024, even though he keeps saying ""I'm thinking about it."" That's to ""keep the grift going,"" he added. https://t.co/d0fRD4bWc4",108,34,No,en,no media
1465125537505067016,2021-11-29 01:08:43+00:00,Governments around the world have reacted swiftly as scientists work to determine the risks posed by the omicron variant of the virus. https://t.co/Pdih4Pa0ia,4,1,No,en,no media
1465121741286559746,2021-11-29 00:53:38+00:00,"Arkansas Gov. Asa Hutchinson said this type of behavior ""has to be called out."" https://t.co/hSK4Ku9zFu",44,13,No,en,no media
1465008972608335877,2021-11-28 17:25:32+00:00,"""What happened on Jan. 6, senator?” Fauci said, responding to Republican lawmakers' latest attack against him. https://t.co/yKivdXPT2W",103,30,No,en,no media
1464982972210290689,2021-11-28 15:42:13+00:00,Video posted online appears to show the man sitting on the tarmac after his precarious ride that authorities say very few survive. https://t.co/klRashZDj2,5,5,No,en,no media
1464968467434594306,2021-11-28 14:44:35+00:00,Officials later confirmed that 13 had the omicron variant. https://t.co/vjgaB4W9hC,10,7,No,en,no media
1464957106860212227,2021-11-28 13:59:26+00:00,Israel moved to ban entry by foreigners and mandate quarantine for all Israelis arriving from abroad. https://t.co/UqCeI9At74,4,2,No,en,no media
1464819447550681097,2021-11-28 04:52:25+00:00,"The tradition is bringing back memories, or nightmares, of Melania Trump's red Christmas trees in 2018. https://t.co/5kbW8sG7SO",55,10,No,en,no media
1464813516200857605,2021-11-28 04:28:51+00:00,"Colorado Republican Rep. Lauren Boebert has repeatedly referred to Rep. Ilhan Omar in derogatory terms, calling Omar a member of the ""jihad squad."" https://t.co/8Oa681H9Aq",32,13,No,en,no media
1464809731835547653,2021-11-28 04:13:49+00:00,"Wood asks to meet with Sidney Powell and Michael Flynn to address a ""division"" in a ""critical time"" in history. https://t.co/2nzgDW4loS",19,10,No,en,no media
1464775798703992835,2021-11-28 01:58:59+00:00,The potential deal raises serious ethical issues as Kushner approaches officials he dealt with as a senior White House adviser as recently as January. https://t.co/T4w4EI18wK,30,24,No,en,no media
1464650174173691907,2021-11-27 17:39:48+00:00,"The virus has been described as a ""variant of concern"" by WHO officials. https://t.co/Tms0rg1a3Y",7,5,No,en,no media
1464646379783999493,2021-11-27 17:24:43+00:00,"The variant appears to be spreading more rapidly among young people in their 20s and 30s, alarming health professionals. https://t.co/m2qODMN2tk",6,4,No,en,no media
1464609903331393546,2021-11-27 14:59:46+00:00,The health secretary said the two cases are “linked” and “there is a connection with travel to southern Africa.” https://t.co/o6FQVAfZXB,1,2,No,en,no media
1464599805016129536,2021-11-27 14:19:39+00:00,Prominent figures in the far-right conspiracy group turned on the acquitted gunman after followers had previously embraced him. https://t.co/xkRQl1BzRk,21,11,No,en,no media
1464596022039040005,2021-11-27 14:04:37+00:00,There's something weird for everyone in our annual holiday gift guide. Who wouldn't love musical toilet paper or cellphone-shaped cheese? https://t.co/eH65iVZDZx,1,1,No,en,no media
1464592229570383875,2021-11-27 13:49:32+00:00,The new COVID-19 variant was identified in South Africa two weeks ago. https://t.co/4MdVVgUchS,8,9,No,en,no media
1464558046651330572,2021-11-27 11:33:43+00:00,"The ""Betrayal"" author broke down why reporting on a third Trump run for president would be “tremendously challenging."" https://t.co/mIOrQUwNmo",12,5,No,en,no media
1464545433477390344,2021-11-27 10:43:35+00:00,State officials said the bus was heading to Chalma when it apparently lost its brakes and slammed into a building. https://t.co/UG7vMFWpCf,2,3,No,en,no media
1464538618027032580,2021-11-27 10:16:31+00:00,It was part of a global effort to pressure the e-commerce giant on one of its busiest days of the year. https://t.co/kp11XxUlPl,7,3,No,en,no media
1464501025277190145,2021-11-27 07:47:08+00:00,The extremist Republican appealed for dessert ideas on Twitter and was served up some shade in response. https://t.co/9BVBh9XHTv,37,10,No,en,no media
1464462067658899457,2021-11-27 05:12:19+00:00,"It's ""not like he's a narcissist or anything,"" deadpanned one critic. https://t.co/5WSqYvCCRa",23,3,No,en,no media
1464442141267173376,2021-11-27 03:53:09+00:00,"Early evidence suggests it carries an increased risk of reinfection compared with other highly transmissible variants, the World Health Organization said. https://t.co/QjSzvgMUlL",8,4,No,en,no media
1464408464592150535,2021-11-27 01:39:20+00:00,Trump erupts over Robert Costa and Bob Woodward's book over its China revelations months after its publication and round of bombshell interviews. https://t.co/jjs3LHWsky,30,5,No,en,no media
1464388165553299464,2021-11-27 00:18:40+00:00,"Her Republican primary challenger, Marina Zimmerman, then tweeted: ""Help me take out the trash."" https://t.co/HUzSBDvF2A",139,22,No,en,no media
1464381226417070083,2021-11-26 23:51:05+00:00,A new study found that warmer sea temperatures may be driving albatross breeding pairs to split up at higher rates. https://t.co/nCexCITxUu,4,2,No,en,no media
1464338455035527175,2021-11-26 21:01:08+00:00,A recent story about a wealthy German shepherd named Gunther wasn't exactly what it seemed. https://t.co/AVBPM0o1FO,3,1,No,en,no media
1464334547064176641,2021-11-26 20:45:36+00:00,"The MyPillow CEO has not filed that lawsuit with the Supreme Court to ""pull down"" the 2020 election, but he's heavily promoting his pillows and sheets. https://t.co/eH2ipWKX8c",29,15,No,en,no media
1464309823470817293,2021-11-26 19:07:22+00:00,The omicron strain circulating around South Africa has been flagged as a variant of concern. https://t.co/kshTQAHsiq,13,7,No,en,no media
